NmId,Question,Description,Answer,label
3440033,"ошибочно постпвила 1 звезду, на самом деле 5. Ботинки очень понравились!","{'Страна производства': 'Таиланд', 'ТНВЭД': '6403511500', 'Метод крепления подошвы': 'Вулканизация', 'Высота подошвы': '1 см', 'Коллекция': 'Осень-Зима 2024', 'Длина упаковки': '34 см', 'Ортопедия': 'нет', 'Материал стельки': 'Искусственная шерсть', 'Ставка НДС': '20', 'Материал подошвы обуви': 'Полиуретан', 'Высота обуви': 'высокие', 'Материал подкладки обуви': 'Искусственная шерсть', 'Дата окончания действия сертификата/декларации': '25.05.2025', 'Высота упаковки': '13 см', 'Назначение обуви': 'повседневная', 'Цвет': 'черный', 'Особенности модели': 'Gore-Tex мембрана', 'Модель ботинок': 'ботинки', 'Дата регистрации сертификата/декларации': '26.05.2022', 'Декоративные элементы': 'без элементов', 'Номер сертификата соответствия': 'ЕАЭС RU С-DK.АЯ46.В.25234/22', 'Комплектация': 'Ботинки - 1 пара', 'Вид застежки': 'Шнурки', 'Полнота обуви (EUR)': 'F (6)', 'Ширина упаковки': '34 см', 'Пол': 'Женский', 'Сезон': 'демисезон', 'Состав': 'натуральный нубук'} {'Российский размер 42': '(Размер производителя: 42, Длина стопы, в см: 26.5-27. )', 'Российский размер 41': '(Размер производителя: 41, Длина стопы, в см: 26-26.5. )', 'Российский размер 35': '(Размер производителя: 35, Длина стопы, в см: 22-22.5. )', 'Российский размер 38': '(Размер производителя: 38, Длина стопы, в см: 24-24.5. )', 'Российский размер 39': '(Размер производителя: 39, Длина стопы, в см: 24.5-25. )', 'Российский размер 40': '(Размер производителя: 40, Длина стопы, в см: 25-25.5. )', 'Российский размер 36': '(Размер производителя: 36, Длина стопы, в см: 22.5-23. )', 'Российский размер 37': '(Размер производителя: 37, Длина стопы, в см: 23-23.5. )'} Ботинки женские демисезонные ECCO из натурального нубука. Демисезонные женские ботинки из натурального нубука ECCO BABETT BOOT идеальны для прохладных дней. Утепленная подкладка и климатическая мембрана подарят тепло и защитят от непогоды. Анатомическая колодка обеспечит максимальную поддержку стопы. Полиуретановая подошва с глубоким протектором легкая, устойчивая и упругая при ходьбе. Текстильная шнуровка помогает отрегулировать посадку модели. Утепленная подкладка защитит ноги от холода. Съемные стельки ECFS из войлока и пеноматериала обеспечивают дополнительную амортизацию. Современный силуэт с удлиненным верхом до щиколотки универсален и идеально сочетается с повседневными нарядами, романтичными платьями и джинсами. Монохромный верх переносит акцент на фактуру нубука и создает трендовый образ. Технология ECCO FLUIDFORM создает подошву, в точности повторяющую изгибы стопы, для исключительного комфорта движения. Климатическая мембрана GORE-TEX защищает обувь от промокания и эффективно отводит испарения, позволяя ногам «дышать».","Добрый день! Благодарим за отзыв. Нам очень важна обратная связь от наших покупателей. Мы рады, что у Вас остались положительные впечатления от покупки. Будем рады Вашим новым заказам!",0
2025564,"Я знаю что такое 48 мл ! Я пользуюсь этой краской 5 лет! В этот раз пришла полупустая бутылка ! Я требую возврата денег! Что непонятного ?! И ваша служба поддержки - это ни о чем , там ничем не могут помочь !","{'Длина упаковки': '8 см', 'Особенности краски для волос': 'безаммиачная', 'Срок годности': '36 месяцев', 'Вес товара с упаковкой (г)': '239 г', 'Комплектация': ""краска-уход для волос L'Oreal Paris (Лореаль Париж) - 1 шт"", 'Тип краски': 'полустойкая', 'Раздел меню': 'Окрашивание волос и химическая завивка', 'Состав': 'вода', 'Упаковка': 'коробка', 'Тон краски для волос': '603, Молочный шоколад', 'Дата окончания действия сертификата/декларации': '27.05.2026', 'Дата регистрации сертификата/декларации': '28.05.2021', 'Ширина упаковки': '9 см', 'Объем товара': '180 мл', 'Страна производства': 'Бельгия', 'Цвет': 'молочный шоколад', 'Номер декларации соответствия': 'ЕАЭС N RU Д-BE.РА01.В.97110/21', 'Высота упаковки': '17 см', 'Назначение косметического средства': 'для волос', 'Прямые поставки от производителя': 'да', 'Форма упаковки': 'без давления'}  Краска для волос Casting Creme Gloss. Окрашивание волос превращается в настоящую процедуру ухода, сравнимую с оздоровлением волос в салоне красоты. Уникальный состав стойкой краски-ухода для волос CASTING CREME GLOSS от L'Oreal Paris (Лореаль Париж) без аммиака во время окрашивания защищает структуру волос от повреждения, одновременно ухаживая и разглаживая их по всей длине. Сохранить и усилить эффект шелковых блестящих волос после окрашивания позволит использование Нового бальзама для волос с Медом, который придает Вашим волосам мягкость, блеск и шелковистость. В состав упаковки входит: красящий крем без аммиака (48мл), тюбик с проявляющим молочком (72мл), флакон с бальзамом для волос с Медом (60мл), пара перчаток, инструкция по применению. Краска для волос Casting Creme Gloss от Лореаль легка в использовании, благодаря наличию специального флакона-аппликатора, нанесение краски становится точным и простым. Полная информация о процедуре окрашивания содержится в инструкции. Соблазнительный цвет и блеск. Стойкий цвет. Закрашивание седых волос. Ухаживает за волосами во время окрашивания. Без аммиака.","Добрый день! Благодарим за обращение. Мы понимаем, что данная ситуация могла принести Вам неудобства. Обращаем внимание, что бренд не может проконтролировать заказ на этапе комплектации. Мы рекомендуем тщательно осматривать товар при получении и, в случае обнаружения повреждений или неверного вложения, незамедлительно сообщить об этом сотруднику. Если Вы обнаружили несоответствие заказу уже после того, как забрали покупку, то обратитесь напрямую в службу поддержки. Для разрешения возникшего вопроса создайте обращение с телефона: зайдите в личный кабинет, перейдите в раздел ""обращения"", выберите ""создать обращение"", далее появится окно для ввода. Для создания обращения с компьютера: зайдите в раздел ""доставка"", выберите ""обратная связь"", далее выберите тему: ""Доставка товара"". Хорошего дня!",0
2025564,"здравствуйте, очень нравится и краска, и прилагаемый к ней бальзам. подскажите артикул этого бальзама в большой упаковке","{'Длина упаковки': '8 см', 'Особенности краски для волос': 'безаммиачная', 'Срок годности': '36 месяцев', 'Вес товара с упаковкой (г)': '239 г', 'Комплектация': ""краска-уход для волос L'Oreal Paris (Лореаль Париж) - 1 шт"", 'Тип краски': 'полустойкая', 'Раздел меню': 'Окрашивание волос и химическая завивка', 'Состав': 'вода', 'Упаковка': 'коробка', 'Тон краски для волос': '603, Молочный шоколад', 'Дата окончания действия сертификата/декларации': '27.05.2026', 'Дата регистрации сертификата/декларации': '28.05.2021', 'Ширина упаковки': '9 см', 'Объем товара': '180 мл', 'Страна производства': 'Бельгия', 'Цвет': 'молочный шоколад', 'Номер декларации соответствия': 'ЕАЭС N RU Д-BE.РА01.В.97110/21', 'Высота упаковки': '17 см', 'Назначение косметического средства': 'для волос', 'Прямые поставки от производителя': 'да', 'Форма упаковки': 'без давления'}  Краска для волос Casting Creme Gloss. Окрашивание волос превращается в настоящую процедуру ухода, сравнимую с оздоровлением волос в салоне красоты. Уникальный состав стойкой краски-ухода для волос CASTING CREME GLOSS от L'Oreal Paris (Лореаль Париж) без аммиака во время окрашивания защищает структуру волос от повреждения, одновременно ухаживая и разглаживая их по всей длине. Сохранить и усилить эффект шелковых блестящих волос после окрашивания позволит использование Нового бальзама для волос с Медом, который придает Вашим волосам мягкость, блеск и шелковистость. В состав упаковки входит: красящий крем без аммиака (48мл), тюбик с проявляющим молочком (72мл), флакон с бальзамом для волос с Медом (60мл), пара перчаток, инструкция по применению. Краска для волос Casting Creme Gloss от Лореаль легка в использовании, благодаря наличию специального флакона-аппликатора, нанесение краски становится точным и простым. Полная информация о процедуре окрашивания содержится в инструкции. Соблазнительный цвет и блеск. Стойкий цвет. Закрашивание седых волос. Ухаживает за волосами во время окрашивания. Без аммиака.","Здравствуйте! Примите нашу благодарность за ваш интерес к нашему бренду! Данный бальзам содержится только в комплекте с краской. Приобретение его как отдельного продукта не представляется возможным. Для максимального ухода за окрашенными волосами рекомендуем использовать ламинирующий бальзам Elseve Эксперт Цвета (Артикул: 14735580). Бальзам питает, восстанавливает и защищает волосы от агрессивного внешнего воздействия. С уважением, команда L`Oreal Paris!",0
2025407,Есть возможность отдельно купить бальзам из этого набора?,"{'Упаковка': 'коробка', 'Комплектация': ""краска-уход для волос L'Oreal Paris (Лореаль Париж) - 1 шт"", 'Прямые поставки от производителя': 'да', 'Номер декларации соответствия': 'ЕАЭС N RU Д-BE.РА01.В.97110/21', 'Форма упаковки': 'без давления', 'Срок годности': '36 месяцев', 'Длина упаковки': '8 см', 'Дата регистрации сертификата/декларации': '28.05.2021', 'Раздел меню': 'Окрашивание волос и химическая завивка', 'Объем товара': '180 мл', 'Тип краски': 'полустойкая', 'Ширина упаковки': '9 см', 'Тон краски для волос': '1021, Светло-светло-русый перламутровый', 'Особенности краски для волос': 'безаммиачная', 'Высота упаковки': '17 см', 'Страна производства': 'Бельгия', 'Цвет': 'светло-русый', 'Состав': 'вода', 'Вес товара с упаковкой (г)': '239 г', 'Назначение косметического средства': 'для волос', 'Дата окончания действия сертификата/декларации': '27.05.2026'}  Краска для волос Casting Creme Gloss. Окрашивание волос превращается в настоящую процедуру ухода, сравнимую с оздоровлением волос в салоне красоты. Уникальный состав стойкой краски-ухода для волос CASTING CREME GLOSS от L'Oreal Paris (Лореаль Париж) без аммиака во время окрашивания защищает структуру волос от повреждения, одновременно ухаживая и разглаживая их по всей длине. Сохранить и усилить эффект шелковых блестящих волос после окрашивания позволит использование Нового бальзама для волос с Медом, который придает Вашим волосам мягкость, блеск и шелковистость. В состав упаковки входит: красящий крем без аммиака (48мл), тюбик с проявляющим молочком (72мл), флакон с бальзамом для волос с Медом (60мл), пара перчаток, инструкция по применению. Краска для волос Casting Creme Gloss от Лореаль легка в использовании, благодаря наличию специального флакона-аппликатора, нанесение краски становится точным и простым. Полная информация о процедуре окрашивания содержится в инструкции. Соблазнительный цвет и блеск. Стойкий цвет. Закрашивание седых волос. Ухаживает за волосами во время окрашивания. Без аммиака.",Добрый день! Спасибо за проявленный интерес к нашему продукту! Данный бальзам содержится только в комплекте с краской Casting Creme Gloss. Приобретение его как отдельного продукта не представляется возможным. Для ухода за окрашенными волосами рекомендуем ламинирующий бальзам Elseve Эксперт Цвета (Артикул: 14735580). Он защищает волосы от агрессивного внешнего воздействия и придает ослепительный блеск и шелковистость!,0
2025407,Здравствуйте. 10.21 убирает желтизну?,"{'Упаковка': 'коробка', 'Комплектация': ""краска-уход для волос L'Oreal Paris (Лореаль Париж) - 1 шт"", 'Прямые поставки от производителя': 'да', 'Номер декларации соответствия': 'ЕАЭС N RU Д-BE.РА01.В.97110/21', 'Форма упаковки': 'без давления', 'Срок годности': '36 месяцев', 'Длина упаковки': '8 см', 'Дата регистрации сертификата/декларации': '28.05.2021', 'Раздел меню': 'Окрашивание волос и химическая завивка', 'Объем товара': '180 мл', 'Тип краски': 'полустойкая', 'Ширина упаковки': '9 см', 'Тон краски для волос': '1021, Светло-светло-русый перламутровый', 'Особенности краски для волос': 'безаммиачная', 'Высота упаковки': '17 см', 'Страна производства': 'Бельгия', 'Цвет': 'светло-русый', 'Состав': 'вода', 'Вес товара с упаковкой (г)': '239 г', 'Назначение косметического средства': 'для волос', 'Дата окончания действия сертификата/декларации': '27.05.2026'}  Краска для волос Casting Creme Gloss. Окрашивание волос превращается в настоящую процедуру ухода, сравнимую с оздоровлением волос в салоне красоты. Уникальный состав стойкой краски-ухода для волос CASTING CREME GLOSS от L'Oreal Paris (Лореаль Париж) без аммиака во время окрашивания защищает структуру волос от повреждения, одновременно ухаживая и разглаживая их по всей длине. Сохранить и усилить эффект шелковых блестящих волос после окрашивания позволит использование Нового бальзама для волос с Медом, который придает Вашим волосам мягкость, блеск и шелковистость. В состав упаковки входит: красящий крем без аммиака (48мл), тюбик с проявляющим молочком (72мл), флакон с бальзамом для волос с Медом (60мл), пара перчаток, инструкция по применению. Краска для волос Casting Creme Gloss от Лореаль легка в использовании, благодаря наличию специального флакона-аппликатора, нанесение краски становится точным и простым. Полная информация о процедуре окрашивания содержится в инструкции. Соблазнительный цвет и блеск. Стойкий цвет. Закрашивание седых волос. Ухаживает за волосами во время окрашивания. Без аммиака.","Здравствуйте! Большое спасибо за обращение к команде L`Oreal Paris! Краска для волос Casting Creme Gloss в оттенке 1021 Светло-Светло Русый Перламутровый имеет оксид - 7.5%, осветляет натуральные неокрашенные волосы до 1 тона. Желаем прекрасного дня!",0
2025407,тон 10.21 закрасит 90% седину? спасибо,"{'Упаковка': 'коробка', 'Комплектация': ""краска-уход для волос L'Oreal Paris (Лореаль Париж) - 1 шт"", 'Прямые поставки от производителя': 'да', 'Номер декларации соответствия': 'ЕАЭС N RU Д-BE.РА01.В.97110/21', 'Форма упаковки': 'без давления', 'Срок годности': '36 месяцев', 'Длина упаковки': '8 см', 'Дата регистрации сертификата/декларации': '28.05.2021', 'Раздел меню': 'Окрашивание волос и химическая завивка', 'Объем товара': '180 мл', 'Тип краски': 'полустойкая', 'Ширина упаковки': '9 см', 'Тон краски для волос': '1021, Светло-светло-русый перламутровый', 'Особенности краски для волос': 'безаммиачная', 'Высота упаковки': '17 см', 'Страна производства': 'Бельгия', 'Цвет': 'светло-русый', 'Состав': 'вода', 'Вес товара с упаковкой (г)': '239 г', 'Назначение косметического средства': 'для волос', 'Дата окончания действия сертификата/декларации': '27.05.2026'}  Краска для волос Casting Creme Gloss. Окрашивание волос превращается в настоящую процедуру ухода, сравнимую с оздоровлением волос в салоне красоты. Уникальный состав стойкой краски-ухода для волос CASTING CREME GLOSS от L'Oreal Paris (Лореаль Париж) без аммиака во время окрашивания защищает структуру волос от повреждения, одновременно ухаживая и разглаживая их по всей длине. Сохранить и усилить эффект шелковых блестящих волос после окрашивания позволит использование Нового бальзама для волос с Медом, который придает Вашим волосам мягкость, блеск и шелковистость. В состав упаковки входит: красящий крем без аммиака (48мл), тюбик с проявляющим молочком (72мл), флакон с бальзамом для волос с Медом (60мл), пара перчаток, инструкция по применению. Краска для волос Casting Creme Gloss от Лореаль легка в использовании, благодаря наличию специального флакона-аппликатора, нанесение краски становится точным и простым. Полная информация о процедуре окрашивания содержится в инструкции. Соблазнительный цвет и блеск. Стойкий цвет. Закрашивание седых волос. Ухаживает за волосами во время окрашивания. Без аммиака.","Добрый день! Благодарим за внимание к бренду. Краска для волос Casting Creme Gloss в оттенке 1021 Светло-светло-русый перламутровый (Артикул: 2025407) имеет фиолетово-пепельный подтон. Обращаем ваше внимание, что при окрашивание седины очень важно учитывать структурные особенности волос: хрупкость, ломкость и наличие микропустот в структуре локонов. Напоминаем, что окрашивание является строго индивидуальным процессом, и его результат зависит от таких факторов, как, например, исходный тон волос, был ли волос уже окрашен, природа использованного красителя, структура волоса и процент седины. Важно предварительно ознакомиться с инструкцией и полностью следовать ее рекомендациям.",1
2025407,Можно ли в один раз покрасить руссые волосы в оттенок 1021?,"{'Упаковка': 'коробка', 'Комплектация': ""краска-уход для волос L'Oreal Paris (Лореаль Париж) - 1 шт"", 'Прямые поставки от производителя': 'да', 'Номер декларации соответствия': 'ЕАЭС N RU Д-BE.РА01.В.97110/21', 'Форма упаковки': 'без давления', 'Срок годности': '36 месяцев', 'Длина упаковки': '8 см', 'Дата регистрации сертификата/декларации': '28.05.2021', 'Раздел меню': 'Окрашивание волос и химическая завивка', 'Объем товара': '180 мл', 'Тип краски': 'полустойкая', 'Ширина упаковки': '9 см', 'Тон краски для волос': '1021, Светло-светло-русый перламутровый', 'Особенности краски для волос': 'безаммиачная', 'Высота упаковки': '17 см', 'Страна производства': 'Бельгия', 'Цвет': 'светло-русый', 'Состав': 'вода', 'Вес товара с упаковкой (г)': '239 г', 'Назначение косметического средства': 'для волос', 'Дата окончания действия сертификата/декларации': '27.05.2026'}  Краска для волос Casting Creme Gloss. Окрашивание волос превращается в настоящую процедуру ухода, сравнимую с оздоровлением волос в салоне красоты. Уникальный состав стойкой краски-ухода для волос CASTING CREME GLOSS от L'Oreal Paris (Лореаль Париж) без аммиака во время окрашивания защищает структуру волос от повреждения, одновременно ухаживая и разглаживая их по всей длине. Сохранить и усилить эффект шелковых блестящих волос после окрашивания позволит использование Нового бальзама для волос с Медом, который придает Вашим волосам мягкость, блеск и шелковистость. В состав упаковки входит: красящий крем без аммиака (48мл), тюбик с проявляющим молочком (72мл), флакон с бальзамом для волос с Медом (60мл), пара перчаток, инструкция по применению. Краска для волос Casting Creme Gloss от Лореаль легка в использовании, благодаря наличию специального флакона-аппликатора, нанесение краски становится точным и простым. Полная информация о процедуре окрашивания содержится в инструкции. Соблазнительный цвет и блеск. Стойкий цвет. Закрашивание седых волос. Ухаживает за волосами во время окрашивания. Без аммиака.","Добрый день! Благодарим за вопрос! Обращаем ваше внимание, что окрашивание является строго индивидуальным процессом, и его результат зависит от типа, состояния и исходного оттенка ваших волос, а также от того, чем волосы были окрашены ранее. Краска для волос Casting Creme Gloss в оттенке 1021 Светло-Светло Русый Перламутровый осветляет натуральные неокрашенные волосы до 1 тона. Для поднятия тона волос рекомендуем предварительно осветлить волосы с помощью осветлителя для волос Preference (Артикул: 30320027) до соответствующего выбранному оттенку уровня осветления. Далее вы можете окрашивать волосы в нужный цвет. Хорошего дня!",0
2025407,"Добрый день, подскажите пожалуйста, ожидать падение цен??","{'Упаковка': 'коробка', 'Комплектация': ""краска-уход для волос L'Oreal Paris (Лореаль Париж) - 1 шт"", 'Прямые поставки от производителя': 'да', 'Номер декларации соответствия': 'ЕАЭС N RU Д-BE.РА01.В.97110/21', 'Форма упаковки': 'без давления', 'Срок годности': '36 месяцев', 'Длина упаковки': '8 см', 'Дата регистрации сертификата/декларации': '28.05.2021', 'Раздел меню': 'Окрашивание волос и химическая завивка', 'Объем товара': '180 мл', 'Тип краски': 'полустойкая', 'Ширина упаковки': '9 см', 'Тон краски для волос': '1021, Светло-светло-русый перламутровый', 'Особенности краски для волос': 'безаммиачная', 'Высота упаковки': '17 см', 'Страна производства': 'Бельгия', 'Цвет': 'светло-русый', 'Состав': 'вода', 'Вес товара с упаковкой (г)': '239 г', 'Назначение косметического средства': 'для волос', 'Дата окончания действия сертификата/декларации': '27.05.2026'}  Краска для волос Casting Creme Gloss. Окрашивание волос превращается в настоящую процедуру ухода, сравнимую с оздоровлением волос в салоне красоты. Уникальный состав стойкой краски-ухода для волос CASTING CREME GLOSS от L'Oreal Paris (Лореаль Париж) без аммиака во время окрашивания защищает структуру волос от повреждения, одновременно ухаживая и разглаживая их по всей длине. Сохранить и усилить эффект шелковых блестящих волос после окрашивания позволит использование Нового бальзама для волос с Медом, который придает Вашим волосам мягкость, блеск и шелковистость. В состав упаковки входит: красящий крем без аммиака (48мл), тюбик с проявляющим молочком (72мл), флакон с бальзамом для волос с Медом (60мл), пара перчаток, инструкция по применению. Краска для волос Casting Creme Gloss от Лореаль легка в использовании, благодаря наличию специального флакона-аппликатора, нанесение краски становится точным и простым. Полная информация о процедуре окрашивания содержится в инструкции. Соблазнительный цвет и блеск. Стойкий цвет. Закрашивание седых волос. Ухаживает за волосами во время окрашивания. Без аммиака.","Добрый день! Благодарим что Ваш выбор пал на продукцию нашего бренда. Добавляйте бренд L`Oreal Paris в избранное, чтобы не пропускать скидки и новинки!",0
2025407,Когда скидки будут? Цена стала выше магазинной.,"{'Упаковка': 'коробка', 'Комплектация': ""краска-уход для волос L'Oreal Paris (Лореаль Париж) - 1 шт"", 'Прямые поставки от производителя': 'да', 'Номер декларации соответствия': 'ЕАЭС N RU Д-BE.РА01.В.97110/21', 'Форма упаковки': 'без давления', 'Срок годности': '36 месяцев', 'Длина упаковки': '8 см', 'Дата регистрации сертификата/декларации': '28.05.2021', 'Раздел меню': 'Окрашивание волос и химическая завивка', 'Объем товара': '180 мл', 'Тип краски': 'полустойкая', 'Ширина упаковки': '9 см', 'Тон краски для волос': '1021, Светло-светло-русый перламутровый', 'Особенности краски для волос': 'безаммиачная', 'Высота упаковки': '17 см', 'Страна производства': 'Бельгия', 'Цвет': 'светло-русый', 'Состав': 'вода', 'Вес товара с упаковкой (г)': '239 г', 'Назначение косметического средства': 'для волос', 'Дата окончания действия сертификата/декларации': '27.05.2026'}  Краска для волос Casting Creme Gloss. Окрашивание волос превращается в настоящую процедуру ухода, сравнимую с оздоровлением волос в салоне красоты. Уникальный состав стойкой краски-ухода для волос CASTING CREME GLOSS от L'Oreal Paris (Лореаль Париж) без аммиака во время окрашивания защищает структуру волос от повреждения, одновременно ухаживая и разглаживая их по всей длине. Сохранить и усилить эффект шелковых блестящих волос после окрашивания позволит использование Нового бальзама для волос с Медом, который придает Вашим волосам мягкость, блеск и шелковистость. В состав упаковки входит: красящий крем без аммиака (48мл), тюбик с проявляющим молочком (72мл), флакон с бальзамом для волос с Медом (60мл), пара перчаток, инструкция по применению. Краска для волос Casting Creme Gloss от Лореаль легка в использовании, благодаря наличию специального флакона-аппликатора, нанесение краски становится точным и простым. Полная информация о процедуре окрашивания содержится в инструкции. Соблазнительный цвет и блеск. Стойкий цвет. Закрашивание седых волос. Ухаживает за волосами во время окрашивания. Без аммиака.","Добрый день! Спасибо за внимание к бренду L`Oreal Paris! Чтобы следить за стоимостью товара было удобнее, добавьте ""Любимые продукты"" в избранное. Желаем приятного шопинга!",0
2025407,"Здравствуйте, много лет крашусь вашей краской в оттенке 1021 свой цвет светло русый всегда осветлялся равномерно до такоего цвета как на коробочке, в последние разы изменилась формула краски и длинна которая была уже окрашенна старой формулой светлая а новая формула не осветляет корни делая их желтыми, подскажите пожалуйста какая другая краска вашей фирмы похожа на стурую формулу и могла бы осветлить корни?","{'Упаковка': 'коробка', 'Комплектация': ""краска-уход для волос L'Oreal Paris (Лореаль Париж) - 1 шт"", 'Прямые поставки от производителя': 'да', 'Номер декларации соответствия': 'ЕАЭС N RU Д-BE.РА01.В.97110/21', 'Форма упаковки': 'без давления', 'Срок годности': '36 месяцев', 'Длина упаковки': '8 см', 'Дата регистрации сертификата/декларации': '28.05.2021', 'Раздел меню': 'Окрашивание волос и химическая завивка', 'Объем товара': '180 мл', 'Тип краски': 'полустойкая', 'Ширина упаковки': '9 см', 'Тон краски для волос': '1021, Светло-светло-русый перламутровый', 'Особенности краски для волос': 'безаммиачная', 'Высота упаковки': '17 см', 'Страна производства': 'Бельгия', 'Цвет': 'светло-русый', 'Состав': 'вода', 'Вес товара с упаковкой (г)': '239 г', 'Назначение косметического средства': 'для волос', 'Дата окончания действия сертификата/декларации': '27.05.2026'}  Краска для волос Casting Creme Gloss. Окрашивание волос превращается в настоящую процедуру ухода, сравнимую с оздоровлением волос в салоне красоты. Уникальный состав стойкой краски-ухода для волос CASTING CREME GLOSS от L'Oreal Paris (Лореаль Париж) без аммиака во время окрашивания защищает структуру волос от повреждения, одновременно ухаживая и разглаживая их по всей длине. Сохранить и усилить эффект шелковых блестящих волос после окрашивания позволит использование Нового бальзама для волос с Медом, который придает Вашим волосам мягкость, блеск и шелковистость. В состав упаковки входит: красящий крем без аммиака (48мл), тюбик с проявляющим молочком (72мл), флакон с бальзамом для волос с Медом (60мл), пара перчаток, инструкция по применению. Краска для волос Casting Creme Gloss от Лореаль легка в использовании, благодаря наличию специального флакона-аппликатора, нанесение краски становится точным и простым. Полная информация о процедуре окрашивания содержится в инструкции. Соблазнительный цвет и блеск. Стойкий цвет. Закрашивание седых волос. Ухаживает за волосами во время окрашивания. Без аммиака.","Здравствуйте! Благодарим за вопрос! Обращаем ваше внимание, что окрашивание является строго индивидуальным процессом, и его результат зависит от типа, состояния и исходного оттенка ваших волос, а также от того, чем волосы были окрашены ранее. Краска для волос Casting Creme Gloss в оттенке 1021 осветляет натуральные неокрашенные волосы до 1 тона. Для подробной консультации, пожалуйста, обратитесь за консультацией к нашим специалистам по телефону горячей линии, указанной на упаковке средства. Хорошего дня!",0
